Cycle#,ChargeOhms,DischargeOhms,MaxV,MinV,MaxOCV,MinOCV,CoulombicEff,EnergyEff,ChargeCapacity(AHrs),DischargeCapacity(AHrs),ChargeEnergy(WHrs),DischargeEnergy(WHrs)
103,0.153677410023,0.131138592954,1.59104,1.16681,1.51454,1.23264,0.952388030132,0.825170270201,1.05000345529,1.00001072242,1.51347806549,1.24887710424
104,0.155126559614,0.133046534391,1.59622,1.16468,1.51911,1.23142,0.95238480812,0.823885788874,1.05000531645,1.00000911183,1.51447634064,1.24775553464
105,0.154502915035,0.13276149479,1.59805,1.16407,1.52125,1.23081,0.952383709991,0.823214449194,1.05000294188,1.00000569729,1.51515508912,1.24729756214
106,0.157694793233,0.131756137597,1.60323,1.1662,1.5249,1.23234,0.952383609666,0.823003152814,1.0500089212,1.00001128655,1.51621982449,1.24785369591
107,0.153165124428,0.131736216802,1.59439,1.16742,1.5182,1.23355,0.952384388818,0.825155679714,1.05000946641,1.00001262392,1.51428773117,1.2495231221
108,0.151206518333,0.131118672159,1.58768,1.16773,1.51241,1.23355,0.952380616224,0.826248955106,1.0500105536,1.00000969808,1.51241341599,1.24963000465
109,0.150603861823,0.131232444695,1.58464,1.16681,1.50967,1.23264,0.952418068018,0.826403757409,1.05000581249,1.00004450734,1.51164176336,1.24922643309
110,0.150603861823,0.131232444695,1.58342,1.16651,1.50845,1.23234,0.952372326497,0.826560071252,1.0500116407,1.0000020291,1.51100952679,1.24894014213
111,0.14989310556,0.131326430866,1.58281,1.1662,1.50814,1.23203,0.95238491112,0.826582089743,1.05000809833,1.00001186941,1.51068495177,1.24870512438
112,0.150001205313,0.131420551755,1.5822,1.16651,1.50753,1.23234,0.9523837848,0.82690849828,1.05000193901,1.00000482072,1.51033952574,1.24891258912
113,0.150603861823,0.130708001676,1.58311,1.16712,1.50814,1.23264,0.95237737726,0.827521720391,1.05000967314,1.00000545861,1.50983000612,1.24941712416
114,0.148046290813,0.131736216802,1.57671,1.16651,1.50296,1.23264,0.952379862017,0.827608028683,1.05000966161,1.00000805664,1.50901651435,1.24887418269
115,0.147444068613,0.131326430866,1.57306,1.1659,1.49961,1.23173,0.952374642006,0.827750583953,1.05001647449,1.00000906399,1.50799466681,1.24824346605
116,0.148153058683,0.131326430866,1.57245,1.1659,1.4987,1.23173,0.952392000871,0.827978352158,1.05000175836,1.00001327556,1.5076340768,1.24828837856
117,0.146716040071,0.131326430866,1.57123,1.16529,1.49809,1.23112,0.952390995127,0.828071556313,1.05000824574,1.00001839805,1.50707725487,1.24796780792
118,0.147337888204,0.130109521815,1.57367,1.16559,1.50022,1.23081,0.95238059622,0.828131200837,1.05000842118,1.0000076462,1.50728779904,1.24823205503
119,0.14742399454,0.131326430866,1.57092,1.16529,1.49748,1.23112,0.952376716217,0.827996708502,1.05001256931,1.00000752275,1.50700749945,1.24779724924
120,0.147317828587,0.131924910727,1.57031,1.16407,1.49687,1.2302,0.952408637002,0.828008364381,1.05000181294,1.00003079551,1.50666531695,1.24753148476
121,0.148173147233,0.131830496243,1.57306,1.16377,1.4993,1.2299,0.952385226101,0.82756090448,1.0500015442,1.00000595808,1.50707899018,1.24719965224
122,0.149378460253,0.131736216802,1.57793,1.16407,1.50357,1.2302,0.952385254256,0.827199987668,1.05000100929,1.0000054782,1.5081255767,1.24752145845
123,0.150001205313,0.131642072113,1.58068,1.16316,1.50601,1.22929,0.952378266777,0.826625874094,1.05000343911,1.00000045544,1.50874103237,1.24716437466
124,0.149873031486,0.131736216802,1.5825,1.16407,1.50784,1.2302,0.952379009239,0.826788474844,1.05000231635,1.00000016574,1.50925021718,1.24783068522
125,0.149378460253,0.132448482843,1.58159,1.16407,1.50723,1.23051,0.952372622281,0.826976042449,1.0500106059,1.00000135416,1.50915151083,1.24803214388
126,0.150001205313,0.13233384065,1.58281,1.16316,1.50814,1.22959,0.952381913866,0.826667618902,1.05000648103,1.00000718198,1.50910624317,1.24752926471
127,0.151315643991,0.131642072113,1.58616,1.16255,1.51089,1.22868,0.952377256236,0.826163670861,1.05001071025,1.00000631925,1.50985613411,1.24738828623
128,0.15338652236,0.132951385292,1.59195,1.16194,1.51576,1.22868,0.952374878811,0.825022951281,1.05001302974,1.00000603195,1.51145198477,1.24698257719
129,0.153165124428,0.132353761444,1.59256,1.16285,1.51637,1.22929,0.952383255909,0.825173233349,1.05000986528,1.00001181423,1.51162807811,1.24735502883
130,0.152452008453,0.131736216802,1.59226,1.16285,1.51637,1.22898,0.952380749349,0.825346647361,1.05000580507,1.00000531546,1.51153000993,1.24753622608
131,0.150495327759,0.131138592954,1.58586,1.16468,1.51089,1.23051,0.952381401033,0.826780972403,1.05000334237,1.0000036543,1.51019288039,1.24859873816
132,0.149486266603,0.131924910727,1.58128,1.16377,1.50692,1.2299,0.952379332114,0.826988601748,1.05000235809,1.00000054452,1.50904724162,1.24796486832
133,0.149378460253,0.132523390588,1.57976,1.16377,1.5054,1.2302,0.952431166906,0.827230356174,1.05000745132,1.00005982212,1.50842913553,1.24781837105
134,0.149765101883,0.131212509644,1.57793,1.16316,1.50327,1.22898,0.952370056021,0.827400842331,1.05001213966,1.00000012027,1.50772794033,1.24749536784
135,0.148561524852,0.130708001676,1.57641,1.16346,1.50235,1.22898,0.952382631425,0.827668240552,1.05000907038,1.00001040147,1.50723337992,1.24748919966
136,0.149981116763,0.131326430866,1.57976,1.16346,1.5051,1.22929,0.952376376678,0.827672952518,1.05000565167,1.00000057803,1.50731456554,1.24756349684
